dweb.link  (usunięto 785 subdomen)
startpage.com  (usunięto 694 subdomen)
run.app  (usunięto 655 subdomen)
px-cloud.net  (usunięto 332 subdomen)
adobedc.net  (usunięto 268 subdomen)
qq.com  (usunięto 213 subdomen)
vivoglobal.com  (usunięto 206 subdomen)
start.page  (usunięto 203 subdomen)
xiaomi.com  (usunięto 195 subdomen)
tiktokv.com  (usunięto 180 subdomen)
dnscry.pt  (usunięto 144 subdomen)
m-pages.com  (usunięto 109 subdomen)
perimeterx.net  (usunięto 106 subdomen)
heytapdl.com  (usunięto 104 subdomen)
miui.com  (usunięto 103 subdomen)
